,city,property_type,lat,long,bedrooms,bathrooms,price
0,Paris,Appartement,48.89508998059088,2.322024139828363,1,1.0,48
1,Paris,Appartement,48.867037726875104,2.3748669065456536,0,1.0,56
2,Paris 4e arrondissement,Appartement,48.857109054079736,2.358685703455699,1,1.0,36
3,Paris,Appartement,48.891122968910764,2.328935093673851,1,1.0,40
4,Paris,Appartement,48.83993331847778,2.3362784747195797,1,1.0,32
5,Paris,Appartement,48.88690533183287,2.3345428115161924,1,1.0,83
6,Paris,Appartement,48.86195966952825,2.3483874634897504,1,1.0,55
7,Paris,Appartement,48.86253256950521,2.3902808476048594,1,1.0,31
8,Paris,Appartement,48.87781338739006,2.2847557054859644,0,1.0,50
9,Paris-5E-Arrondissement,Appartement,48.84777045422249,2.3485271617825205,0,1.0,54
10,Paris,Appartement,48.8881756818376,2.3114633691930964,0,1.0,36
11,Paris,Appartement,48.83875106587059,2.299879749116308,0,1.0,78
12,Paris,Appartement,48.86893194376627,2.3521261505579307,1,1.0,61
13,Paris,Appartement,48.85674755364499,2.3559489508126896,0,1.0,68
14,Paris,Appartement,48.858099228527145,2.3468176467090758,0,1.0,102
15,Paris,Appartement,48.83632531388064,2.351209774503581,0,1.0,36
16,Paris,Appartement,48.857127631517415,2.3587834552149363,1,1.0,103
17,Paris,Appartement,48.83890785626136,2.282964141138141,1,1.0,51
18,Paris,Appartement,48.85199739006657,2.364168307762032,1,1.0,51
19,Paris,Appartement,48.88601608235682,2.3414921843513468,0,1.0,51
20,Paris,Appartement,48.860053644260795,2.3431239399836232,1,1.0,103
21,Paris,Appartement,48.873408041362254,2.3719408608176193,1,1.0,62
22,Paris,Appartement,48.86383348908021,2.350557034071771,0,1.0,51
23,Paris,Appartement,48.84880909705267,2.2859415262458342,1,1.0,62
24,Paris,Appartement,48.86180458980802,2.3487252560582847,1,1.0,71
25,Paris,Appartement,48.86172540461269,2.3509226872610833,0,1.0,87
26,Paris,Appartement,48.87991752199606,2.34660299475907,0,1.0,27
27,Paris,Appartement,48.86910568723462,2.374926026931135,1,1.0,71
28,Paris,Appartement,48.86159491658714,2.3439202426359445,0,1.0,83
29,Paris,Appartement,48.85896116878828,2.3627074762818623,1,1.0,206
30,Paris,Appartement,48.85178052849521,2.3446787902357706,0,1.0,56
31,Paris,Appartement,48.85932548539234,2.3824852960067915,1,1.0,64
32,Paris,Appartement,48.85182147256007,2.3430873261268768,1,1.0,66
33,Paris,Appartement,48.862210403606746,2.357752722221437,2,1.0,91
34,Paris,Appartement,48.86771137461607,2.3705314758437184,1,1.0,61
35,Paris,Appartement,48.84987960440675,2.3499570974829647,1,1.0,71
36,Paris,Appartement,48.854477115574845,2.360565267588443,0,1.0,67
37,Paris,Appartement,48.85367285168765,2.349065956145447,1,0.0,68
38,Paris,Appartement,48.884673652606324,2.3782253659028454,1,1.0,36
39,Paris,Appartement,48.85975316021988,2.344011884659878,0,1.0,72
40,Paris,Appartement,48.85964472708462,2.3571263186033673,0,1.0,57
