,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
0,06340,France,Drap,140,,7,,1150
1,06000,France,Nice,30,,7,,41.67
2,06400,France,Cannes,50,,7,,1300
3,06150,France,Cannes la Bocca,329.48,,7,,850
4,06300,France,06300,60,,7,,2000
5,06140,France,Vence,180,,7,,120000
6,06700,France,Saint-Laurent-du-Var,104,,7,,999
7,06800,France,Cagnes-sur-Mer,50,,7,,1345
8,06800,France,Cagnes-sur-Mer,66,,7,,86000
9,06160,France,Juan les Pins,122,,7,,1800
10,06580,France,Pegomas,200,,7,,2200
11,06130,France,Grasse,310,,7,,2190
12,06000,France,Nice,56,,7,,6500
13,06300,France,Nice,148,,7,,730
14,06000,France,Nice,76,,7,,2800
15,06000,France,Nice,50.52,,7,,680
16,06000,France,Nice,70,,7,,1010
17,06740,France,Chateauneuf Grasse,162,,7,,780
18,06210,France,Mandelieu la Napoule,160,,7,,1200.02
19,06220,France,Vallauris,64.66,,7,,1583.33
20,06600,France,Antibes,320,,7,,1590
21,06580,France,Pegomas,240,,7,,1750
22,06220,France,Vallauris,121.21,,7,,2000
23,06600,France,Antibes,25,,7,,3720
24,06000,France,Nice,37,,7,,420
25,06000,France,Nice,50,,7,,622
26,06000,France,Nice,101,,7,,690
27,06200,France,Nice,107,,7,,1212
28,06110,France,Le Cannet,110,,7,,1500
29,06000,France,Nice,463,,7,,2100
30,06500,France,Menton,50,,7,,3166.53
31,06000,France,Nice,180,,7,,855
32,06570,France,Saint Paul de Vence,344,,7,,2100
33,06000,France,Nice,50,,7,,2000
34,06000,France,Nice,77,,7,,800
35,06200,France,Nice,90,,7,,1200
36,06000,France,Nice,191,,7,,650.02
37,06150,France,Cannes la Bocca,275,,7,,2229.92
38,06130,France,Grasse,400,,7,,2291.67
39,06220,France,Vallauris,500,,7,,3333.33
40,06510,France,Carros,400,,7,,3950
41,06220,France,Vallauris,230,,7,,5972.33
42,06800,France,Cagnes sur Mer,24,,7,,2102.01
43,06400,France,Cannes,72,,7,,625
44,06800,France,Cagnes-sur-Mer,130,,7,,1300
45,06240,France,Beausoleil,15.15,,7,,1200
46,06150,France,06150,19,,7,,2750
47,06600,France,Antibes,26,,7,,170
48,06300,France,Nice,,,7,,29000
49,06460,France,Saint Vallier de Thiey,,,7,,495
50,06700,France,Saint Laurent du Var,15.95,,7,,500
51,06300,France,Nice,50,,7,,550
52,06400,France,Cannes,25,,7,,595
53,06800,France,Cagnes sur Mer,45.71,,7,,700
54,06300,France,Nice,37,,7,,760
55,06600,France,Antibes,60.28,,7,,774.9
56,06220,France,Vallauris,81,,7,,833.36
57,06400,France,Cannes,29.34,,7,,888.9
58,06600,France,Antibes,37.51,,7,,980
59,06600,France,Antibes,63,,7,,1099.98
60,06130,France,Grasse,47.2,,7,,1236
61,06600,France,Antibes,42.82,,7,,1404
62,06220,France,Vallauris,240,,7,,2000
63,06300,France,06300,195,,7,,2033
64,06800,France,Cagnes sur Mer,246,,7,,3000
65,06250,France,Mougins,2700,,7,,22500
66,06670,France,St Martin du Var,16.2,,7,,400
67,06300,France,St Roch,14,,7,,430
68,06000,France,Nice,28,,7,,622
69,06000,France,Nice,22,,7,,800
70,06800,France,Cagnes-sur-Mer,48,,7,,912
71,06800,France,Cagnes-sur-Mer,86,,7,,1020
72,06200,France,Nice,206.73,,7,,2540
73,06300,France,Nice,25,,7,,495
74,06200,France,Nice,40.98,,7,,550
75,06510,France,Carros,65,,7,,650
76,06300,France,Nice,76,,7,,604
77,06300,France,Nice,37,,7,,760
78,06100,France,Nice,34.88,,7,,690
79,06200,France,Nice,59,,7,,700
80,06000,France,Nice,48.92,,7,,830
81,06000,France,Nice,117.94,,7,,1100
82,06270,France,Villeneuve Loubet,114,,7,,1630
83,06400,France,Cannes,29.65,,7,,699.9
84,06200,France,Nice,77,,7,,1200
85,06000,France,Nice,50,,7,,1800
86,06270,France,Villeneuve Loubet,50,,7,,900
87,06400,France,Cannes,25,,7,,117000
88,06300,France,Nice,170,,7,,1700
89,06300,France,Nice,220,,7,,1799.97
90,06640,France,Saint Jeannet,250,,7,,1875
91,06400,France,Cannes,140,,7,,218000
92,06000,France,Nice,23.12,,7,,310
93,06300,France,Nice,35.67,,7,,365
94,06000,France,Nice,35.3,,7,,400
95,06300,France,Nice,76.5,,7,,600
96,06200,France,Nice,45,,7,,535
97,06000,France,Nice,149.59,,7,,2300
98,06650,France,Le Rouret,45,,7,,710
99,06400,France,Cannes,90,,7,,1150
100,06650,France,Le Rouret,90,,7,,1420
101,06000,France,Nice,140,,7,,163800
102,06400,France,Cannes,400,,7,,6000
