ville,idTypeBien,surface gr,prix loc,prix achat,yield
Villeurbanne,4,"(80, 999999]",59,285000,0.0024842105
Nantes,2,"(0, 35]",645,2704000,0.002862426
Lyon 5ème,1,"(0, 35]",491,1690000,0.0034863905
Nice,2,"(35, 50]",730,1100000,0.0079636364
Marseille 7ème,1,"(50, 80]",915,1315000,0.0083498099
Paris 17ème,1,"(0, 35]",858.75,1130500,0.0091154356
Paris 16ème,1,"(0, 35]",911.9233333333,1188800,0.009205148
Paris 7ème,1,"(35, 50]",1766.25,2208000,0.0095991848
Paris 19ème,1,"(0, 35]",780,947500,0.009878628
Paris 17ème,1,"(50, 80]",2005.2857142857,2375000,0.0101319699
Lyon 2ème,1,"(50, 80]",1032.55,1195500,0.0103643664
Paris 7ème,1,"(50, 80]",2158.3333333333,2290000,0.0113100437
Paris 17ème,1,"(35, 50]",1224.1666666667,1254000,0.0117145136
Lyon 6ème,1,"(50, 80]",1168.3333333333,1195000,0.0117322176
Montpellier,2,"(35, 50]",639,645000,0.0118883721
Paris 19ème,1,"(50, 80]",1500,1387500,0.012972973
Paris 6ème,1,"(35, 50]",1540,1395000,0.0132473118
Paris 16ème,1,"(35, 50]",1297.6,1160458.33333333,0.0134181466
Paris 13ème,1,"(0, 35]",900,790000,0.0136708861
Paris 15ème,1,"(0, 35]",936.25,820000,0.0137012195
Paris 2ème,1,"(35, 50]",1724,1440000,0.0143666667
Paris 2ème,1,"(0, 35]",1262.5,1050000,0.0144285714
Paris 20ème,1,"(0, 35]",798,660000,0.0145090909
Paris 9ème,1,"(50, 80]",1890,1550000,0.0146322581
Nice,9,"(0, 35]",480,380000,0.0151578947
Paris 9ème,1,"(0, 35]",990,745666.666666667,0.0159320519
Rennes,2,"(50, 80]",950,697000,0.0163558106
Paris 4ème,1,"(35, 50]",1546.6666666667,1113333.33333333,0.0166706587
Nimes,2,"(50, 80]",901,645000,0.0167627907
Bordeaux,1,"(0, 35]",546.9230769231,390005.555555556,0.0168281626
Paris 14ème,1,"(0, 35]",800,561250,0.0171046771
Paris 13ème,1,"(35, 50]",1212.3333333333,850000,0.0171152941
Toulouse,2,"(50, 80]",741,518250,0.0171577424
Marseille 2ème,1,"(50, 80]",740,508750,0.0174545455
Paris 6ème,1,"(50, 80]",2160,1452125,0.017849703
Paris 1er,1,"(0, 35]",1219.1666666667,811993.333333333,0.0180173893
Paris 7ème,1,"(80, 999999]",2500,1649326,0.0181892482
Lyon 3ème,1,"(0, 35]",464.71,301450,0.0184989882
Marseille 7ème,1,"(35, 50]",889.2266666667,574000,0.0185901045
Paris 16ème,1,"(50, 80]",2524.2727272727,1564500,0.0193616317
Paris 4ème,1,"(0, 35]",1050,625000,0.02016
Paris 8ème,1,"(35, 50]",1900,1129125,0.020192627
Nantes,2,"(50, 80]",710,408673.333333333,0.020847947
Montpellier,2,"(50, 80]",911,524063.636363636,0.0208600621
Paris 12ème,1,"(50, 80]",1114,631666.666666667,0.0211630607
Bordeaux,1,"(35, 50]",579.766,323578.88,0.0215007605
Paris 15ème,1,"(35, 50]",1541.25,826500,0.0223774955
Paris 12ème,1,"(35, 50]",1317,704000,0.0224488636
Lyon 7ème,1,"(0, 35]",402.6666666667,215000,0.0224744186
Nantes,1,"(0, 35]",473.81,249469.583333333,0.0227912354
Lyon 2ème,1,"(80, 999999]",1533.3333333333,782000,0.0235294118
Marseille 8ème,1,"(35, 50]",659.8333333333,332019.833333333,0.0238479729
Marseille 7ème,1,"(0, 35]",600,299000,0.0240802676
Toulon,1,"(0, 35]",453.5555555556,225566.666666667,0.0241288606
Marseille 4ème,1,"(35, 50]",560,275724,0.0243721983
Lille,2,"(50, 80]",516,249000,0.0248674699
Toulouse,2,"(80, 999999]",1102.1823076923,530050,0.0249527171
Marseille 8ème,2,"(80, 999999]",2666.6666666667,1280000,0.025
Lyon 3ème,1,"(35, 50]",588.3333333333,281610,0.0250701325
Villeurbanne,1,"(0, 35]",441.652,211166.666666667,0.0250978248
Montpellier,1,"(0, 35]",465.1005882353,221954.545454545,0.0251457209
Marseille 12ème,1,"(35, 50]",676,309400,0.0262184874
Marseille 12ème,2,"(80, 999999]",1712.5,780000,0.0263461538
Rennes,1,"(0, 35]",407.5,183712.5,0.0266176771
Marseille 11ème,2,"(80, 999999]",1526.25,682500,0.0268351648
Paris 8ème,1,"(50, 80]",2250,988352,0.0273182024
Toulouse,1,"(0, 35]",455.5773076923,196577.333333333,0.02781057
Paris 3ème,1,"(35, 50]",1390,595000,0.0280336134
Bordeaux,2,"(50, 80]",863.985,367500,0.0282117551
Lyon 4ème,1,"(35, 50]",1100,467678,0.0282245477
Rennes,2,"(80, 999999]",1063.2,451410,0.0282634412
